"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,61,"B","2.1","ffe6ff50"
"2016/7","MATH08057","Introduction to Linear Algebra",1,50,"C","2.2","59a0d2f2"
"2016/7","MATH08058","Calculus and its Applications",1,42,"D","3rd","59a0d2f2"
"2016/7","MATH08059","Proofs and Problem Solving",1,55,"C","2.2","59a0d2f2"
"2017/8","MATH08051","Statistics (Year 2)",1,48,"D","3rd","59a0d2f2"
"2017/8","MATH08063","Several Variable Calculus and Differential Equations",1,54,"C","2.2","59a0d2f2"
"2017/8","MATH08064","Fundamentals of Pure Mathematics",1,58,"C","2.2","59a0d2f2"
"2017/8","MATH08065","Computing and Numerics",1,64,"B","2.1","59a0d2f2"
"2017/8","MATH08068","Facets of Mathematics",1,56,"C","2.2","59a0d2f2"
"2015/6","PHYS08035","Mathematics for Physics 1",1,38,"E","Fail","c1b1d24e"
"2015/6","PHYS08035","Mathematics for Physics 1",2,56,"C","2.2","c1b1d24e"
"2015/6","PHYS08036","Mathematics for Physics 2",1,44,"D","3rd","c1b1d24e"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,40,"D","3rd","e5b07860"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,22,"F","Fail","e5b07860"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,35,"E","Fail","e5b07860"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,21,"F","Fail","e5b07860"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,82,"A2","1st","462c4c52"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,86,"A2","1st","462c4c52"
"2014/5","PHYS08035","Mathematics for Physics 1",1,72,"A3","1st","486bc6fa"
"2014/5","PHYS08036","Mathematics for Physics 2",1,52,"C","2.2","486bc6fa"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,60,"B","2.1","1819690f"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,60,"B","2.1","1819690f"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,49,"D","3rd","7ef1787"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,30,"E","Fail","7ef1787"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,42,"FF","FF","7ef1787"
